PEIMS DATA FOR SCHOOL YEAR 2013-2014
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"Hispanic",438
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"Two or More Races",27
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"White",134
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"Black or African American",11
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"Asian",19
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"Hispanic",102
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"Two or More Races",46
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"White",666
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"Black or African American",9
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"Asian",120
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"Hispanic",132
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"Two or More Races",39
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"White",623
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"Black or African American",95
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"American Indian or Alaska Native",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"Asian",9
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"Hispanic",779
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"Two or More Races",11
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"White",30
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON M S",227901057,"Black or African American",51
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON M S",227901057,"American Indian or Alaska Native",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON M S",227901057,"Asian",19
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON M S",227901057,"Hispanic",400
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON M S",227901057,"Native Hawaiian/Other or Pacific Islander",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON M S",227901057,"Two or More Races",22
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON M S",227901057,"White",170
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COWAN EL",227901183,"Black or African American",33
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COWAN EL",227901183,"American Indian or Alaska Native",5
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COWAN EL",227901183,"Asian",23
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COWAN EL",227901183,"Hispanic",332
