,year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate
100,2015-2016,AUSTIN ISD,Mcbee Elementary School,490,467,490,438,Elementary,100.0
101,2015-2016,AUSTIN ISD,Williams Elementary School,458,376,458,293,Elementary,100.0
102,2015-2016,AUSTIN ISD,Langford Elementary School,687,651,687,571,Elementary,100.0
103,2015-2016,AUSTIN ISD,Boone Elementary School,573,276,573,188,Elementary,100.0
104,2015-2016,AUSTIN ISD,Palm Elementary School,481,400,481,331,Elementary,100.0
105,2015-2016,AUSTIN ISD,Kocurek Elementary School,491,317,491,253,Elementary,100.0
106,2015-2016,AUSTIN ISD,Casey Elementary School,606,377,606,277,Elementary,100.0
107,2015-2016,AUSTIN ISD,Rodriguez Elementary School,701,680,701,586,Elementary,100.0
108,2015-2016,AUSTIN ISD,Widen Elementary School,566,535,566,434,Elementary,100.0
109,2015-2016,AUSTIN ISD,Galindo Elementary School,585,551,585,440,Elementary,100.0
110,2015-2016,AUSTIN ISD,Uphaus Early Childhood Center,271,258,271,186,Elementary,100.0
111,2015-2016,AUSTIN ISD,Jordan Elementary School,674,654,674,563,Elementary,100.0
112,2015-2016,AUSTIN ISD,Davis Elementary School,798,233,2,310,Elementary,0.2506265664160401
113,2015-2016,AUSTIN ISD,Kiker Elementary School,998,44,0,268,Elementary,0.0
114,2015-2016,AUSTIN ISD,Mills Elementary School,812,67,2,212,Elementary,0.24630541871921183
115,2015-2016,AUSTIN ISD,Baranoff Elementary School,984,112,7,301,Elementary,0.7113821138211383
116,2015-2016,AUSTIN ISD,Cowan Elementary School,790,240,11,269,Elementary,1.3924050632911393
117,2015-2016,AUSTIN ISD,Clayton Elementary School,876,13,0,160,Elementary,0.0
118,2015-2016,AUSTIN ISD,Blazier Elementary School,842,627,842,543,Elementary,100.0
119,2015-2016,AUSTIN ISD,Guerrero Thompson,673,655,673,624,Middle,100.0
120,2015-2016,AUSTIN ISD,Baldwin Elementary School,787,103,2,221,Elementary,0.25412960609911056
121,2015-2016,AUSTIN ISD,Padron Elementary School,772,754,772,668,Elementary,100.0
122,2015-2016,AUSTIN ISD,Overton Elementary School,718,675,718,600,Elementary,100.0
123,2015-2016,AUSTIN ISD,Perez Elementary School,752,678,752,564,Elementary,100.0
124,2015-2016,AUSTIN ISD,Dobie Pk Center,274,264,2,173,Other,0.7299270072992701
125,2015-2016,AUSTIN ISD,Webb Pri Center,217,211,217,206,Elementary,100.0
126,2015-2016,AUSTIN ISD,Austin Isd Child Develementary Schoolopment Cente,62,61,0,0,Elementary,0.0
127,2015-2016,AUSTIN ISD,Delementary Schooll Children'S Medical Center,2,0,0,2,Elementary,0.0
128,2015-2016,AUSTIN ISD,Austin St Hospital,19,0,0,19,High,0.0
129,2015-2016,AUSTIN ISD,Rosedale,263,65,2,128,Elementary,0.7604562737642585
0,2016-2017,AUSTIN ISD,Allison Elementary School,460,392,460,332,Elementary,100.0
1,2016-2017,AUSTIN ISD,Andrews Elementary School,572,537,572,495,Elementary,100.0
2,2016-2017,AUSTIN ISD,Barton Hills Elementary School,427,25,0,81,Elementary,0.0
3,2016-2017,AUSTIN ISD,Becker Elementary School,431,166,431,176,Elementary,100.0
4,2016-2017,AUSTIN ISD,Blackshear Elementary School,381,268,381,197,Elementary,100.0
5,2016-2017,AUSTIN ISD,Blanton Elementary School,486,363,486,325,Elementary,100.0
6,2016-2017,AUSTIN ISD,Brentwood Elementary School,644,140,2,192,Elementary,0.3105590062111801
7,2016-2017,AUSTIN ISD,Brooke Elementary School,272,250,272,168,Elementary,100.0
8,2016-2017,AUSTIN ISD,Brown Elementary School,354,306,354,297,Elementary,100.0
9,2016-2017,AUSTIN ISD,Bryker Woods Elementary School,443,43,0,95,Elementary,0.0
10,2016-2017,AUSTIN ISD,Campbelementary Schooll Elementary School,194,171,194,120,Elementary,100.0
11,2016-2017,AUSTIN ISD,Casis Elementary School,817,21,0,85,Elementary,0.0
12,2016-2017,AUSTIN ISD,Cunningham Elementary School,412,233,412,188,Elementary,100.0
13,2016-2017,AUSTIN ISD,Dawson Elementary School,340,272,340,194,Elementary,100.0
14,2016-2017,AUSTIN ISD,Daep- Elementary School,5,5,0,5,Elementary,0.0
15,2016-2017,AUSTIN ISD,Govalle Elementary School,470,415,470,329,Elementary,100.0
16,2016-2017,AUSTIN ISD,Gullett Elementary School,554,49,2,58,Elementary,0.36101083032490977
17,2016-2017,AUSTIN ISD,Harris Elementary School,615,586,615,509,Elementary,100.0
18,2016-2017,AUSTIN ISD,Highland Park Elementary School,652,29,0,94,Elementary,0.0
19,2016-2017,AUSTIN ISD,Joslin Elementary School,261,174,261,130,Elementary,100.0
20,2016-2017,AUSTIN ISD,Lee Elementary School,402,62,2,99,Elementary,0.4975124378109453
21,2016-2017,AUSTIN ISD,Maplewood Elementary School,498,201,9,186,Elementary,1.8072289156626506
22,2016-2017,AUSTIN ISD,Mathews Elementary School,442,126,442,151,Elementary,100.0
23,2016-2017,AUSTIN ISD,Metz Elementary School,305,251,305,221,Elementary,100.0
24,2016-2017,AUSTIN ISD,Oak Springs Elementary School,324,298,324,198,Elementary,100.0
25,2016-2017,AUSTIN ISD,Ortega Elementary School,306,256,306,181,Elementary,100.0
26,2016-2017,AUSTIN ISD,Sanchez Elementary School,353,331,353,290,Elementary,100.0
27,2016-2017,AUSTIN ISD,Pease Elementary School,242,39,2,48,Elementary,0.8264462809917356
28,2016-2017,AUSTIN ISD,Pecan Springs Elementary School,470,420,470,318,Elementary,100.0
29,2016-2017,AUSTIN ISD,Pleasant Hill Elementary School,502,410,502,336,Elementary,100.0
30,2016-2017,AUSTIN ISD,Read Pre-K Center,320,243,0,215,Other,0.0
