PEIMS DATA FOR SCHOOL YEAR 2017-2018
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Ethnicity Name","Enrollment by Ethnicity"
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Black or African American",72
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Asian",18
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Hispanic",635
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Two or More Races",28
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","White",105
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","Black or African American",18
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","Asian",29
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","Hispanic",230
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","Two or More Races",26
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","White",231
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"HIGH SCHOOL","Black or African American",95
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"HIGH SCHOOL","American Indian or Alaska Native",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"HIGH SCHOOL","Asian",156
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"HIGH SCHOOL","Hispanic",940
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"HIGH SCHOOL","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"HIGH SCHOOL","Two or More Races",134
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"HIGH SCHOOL","White",1548
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"ELEMENTARY","Black or African American",16
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"ELEMENTARY","Asian",7
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"ELEMENTARY","Hispanic",202
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"ELEMENTARY","Two or More Races",30
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"ELEMENTARY","White",420
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"ELEMENTARY","Black or African American",22
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"ELEMENTARY","Asian",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"ELEMENTARY","Hispanic",218
