PEIMS DATA FOR SCHOOL YEAR 2015-2016
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"Hispanic",86
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"Native Hawaiian/Other or Pacific Islander",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"Two or More Races",41
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"White",629
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"Black or African American",6
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"Asian",125
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"Hispanic",121
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"Two or More Races",34
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"White",590
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"Black or African American",40
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"Asian",5
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"Hispanic",481
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"Two or More Races",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"White",24
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON M S",227901057,"Black or African American",35
