Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2013-2014

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES"
"STATE","DISTRICT","2013-2014",020908,"PEARLAND ISD",04,20034,1652,4817,1454,770,592,5557,4201,5597,120,55,1808
"STATE","DISTRICT","2013-2014",020910,"DAMON ISD",04,187,15,14,37,0,34,151,187,116,-9999999,-9999999,17
"STATE","DISTRICT","2013-2014",021803,"BRAZOS SCHOOL FOR INQUIRY & CREATI",06,478,0,77,83,0,76,447,478,301,0,0,36
"STATE","DISTRICT","2013-2014",021805,"ARROW ACADEMY",06,927,0,0,192,132,57,775,927,627,-9999999,0,41
"STATE","DISTRICT","2013-2014",021901,"COLLEGE STATION ISD",06,11713,1353,2604,861,744,464,4017,1906,3480,19,-9999999,996
"STATE","DISTRICT","2013-2014",021902,"BRYAN ISD",06,15741,1987,3451,3169,2547,836,11633,11240,9998,49,67,1225
"STATE","DISTRICT","2013-2014",022004,"TERLINGUA CSD",18,99,5,6,41,0,41,73,99,63,0,0,10
"STATE","DISTRICT","2013-2014",022901,"ALPINE ISD",18,1049,79,241,78,0,75,533,1049,729,-9999999,-9999999,88
"STATE","DISTRICT","2013-2014",022902,"MARATHON ISD",18,41,-9999999,14,0,0,0,37,41,11,0,0,-9999999
"STATE","DISTRICT","2013-2014",022903,"SAN VICENTE ISD",18,24,-9999999,0,0,0,0,10,0,8,0,0,-9999999
"STATE","DISTRICT","2013-2014",023902,"SILVERTON ISD",16,187,7,59,16,0,16,102,187,61,0,0,17
"STATE","DISTRICT","2013-2014",024901,"BROOKS COUNTY ISD",02,1542,75,361,49,0,46,1310,1539,1009,-9999999,0,138
"STATE","DISTRICT","2013-2014",025901,"BANGS ISD",15,1056,78,316,16,0,16,491,730,401,22,24,112
"STATE","DISTRICT","2013-2014",025902,"BROWNWOOD ISD",15,3520,225,1137,109,0,102,2243,3520,1634,37,64,333
"STATE","DISTRICT","2013-2014",025904,"BLANKET ISD",15,215,10,51,-9999999,0,-9999999,117,215,90,5,15,27
"STATE","DISTRICT","2013-2014",025905,"MAY ISD",15,262,25,85,9,0,9,139,121,82,0,0,28
"STATE","DISTRICT","2013-2014",025906,"ZEPHYR ISD",15,211,6,66,0,0,0,146,211,78,0,-9999999,14
"STATE","DISTRICT","2013-2014",025908,"BROOKESMITH ISD",15,177,8,50,-9999999,0,-9999999,122,177,58,0,-9999999,23
"STATE","DISTRICT","2013-2014",025909,"EARLY ISD",15,1169,113,296,20,0,27,534,827,450,23,25,122
"STATE","DISTRICT","2013-2014",026901,"CALDWELL ISD",06,1771,133,469,207,34,182,957,1250,724,5,-9999999,119
"STATE","DISTRICT","2013-2014",026902,"SOMERVILLE ISD",06,512,23,90,42,0,42,386,319,314,0,-9999999,61
"STATE","DISTRICT","2013-2014",026903,"SNOOK ISD",06,504,43,114,19,0,25,334,504,313,0,0,47
"STATE","DISTRICT","2013-2014",027903,"BURNET CISD",13,3228,101,904,220,53,165,1887,2337,1272,21,21,319
"STATE","DISTRICT","2013-2014",027904,"MARBLE FALLS ISD",13,4003,277,1010,538,335,198,2433,2857,1840,8,13,441
"STATE","DISTRICT","2013-2014",028902,"LOCKHART ISD",13,5130,353,1526,692,430,162,3596,2623,2885,37,27,625
"STATE","DISTRICT","2013-2014",028903,"LULING ISD",13,1430,85,381,179,95,89,1036,1422,934,0,-9999999,139
"STATE","DISTRICT","2013-2014",028906,"PRAIRIE LEA ISD",13,176,22,32,-9999999,0,-9999999,126,176,49,0,0,23
"STATE","DISTRICT","2013-2014",029901,"CALHOUN COUNTY ISD",03,4282,320,1329,418,117,298,2619,3093,2197,8,5,366
"STATE","DISTRICT","2013-2014",030901,"CROSS PLAINS ISD",14,337,32,115,9,0,9,213,194,160,0,0,30
"STATE","DISTRICT","2013-2014",030902,"CLYDE CISD",14,1450,69,376,6,0,6,683,1047,663,41,10,129
"STATE","DISTRICT","2013-2014",030903,"BAIRD ISD",14,323,12,118,5,0,5,229,152,156,0,-9999999,33
