PEIMS DATA FOR SCHOOL YEAR 2014-2015
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Level Name","Enrollment by Grade Level"
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Pre-kindergarten",55
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Kindergarten",63
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Grade  1",68
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Grade  2",61
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Grade  3",58
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Grade  4",42
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Grade  5",52
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Early Education",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Kindergarten",66
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Grade  1",56
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Grade  2",66
